D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
E,sound[+],"excellent sound - i found the music reproduced faithfully through the jukebox" 
E,transfer[+],"transfer through windows explorer - windows recognizes the jukebox as an additional hard disk  so it allows you to simply drag and drop files from windows explorer to a folder for the nomad" 
E,transfer[+],"i found it very useful for transferring large files to another computer" 
E,storage[+],"huge storage space - even at 320kbs  you can store a ton of songs on this thing" 
E,transfer[+],"having usb 2.0 makes for very fast transfers" 
E,navigation[-],"navigation system - the zen xtra uses id3 tags that are embedded in the mp3 files to organize your songs" 
E,fm receiver[-],"fm receiver - it has none" 
E,construction[-],"cheap construction - they should have made the player out of hard plastic and put some rubber on the corners" 
E,feel[-],"the player feels very delicate  as if i 'm holding an actual hard drive" 
E,feel[-],"as a portable player  it should feel a bit more durable" 
E,play[-],"the songs do n't play one after another like on a cd" 
E,software[-],"software - the software is crap" 
E,rip cd[+],"i use it for ripping cds  which it does a pretty good job of" 
E,software[-][p],"otherwise  it is difficult to figure out and awkward" 
E,instruction[-],"even after reading some of the instructions  it 's still hard to figure out" 
E,line out jack[-],"no line out jack - as i said  there is none" 
E,line out jack[-],"it sounds decent  but i would estimate you get maybe 80 % of the quality that you would from a true line out jack" 
E,control[-],"controls are a bit awkward" 
E,control[-][u],"it was n't as easy to fast forward or pause a song than it was with a regular walkman" 
E,headphone[-],"crappy headphones" 
E,earbud[-],"the included earbuds were uncomfortable" 
E,navigation[-],"difficult navigation - i wo n't necessarily say " difficult  " but i do n't enjoy the scrollwheel to navigate" 
E,navigation[-],"it is a bit cumbersome  and i can 't get to the songs i want as quickly" 
E,navigation[-][p],"i think this is it 's biggest flaw" 
E,control[-],"up  down  left  and right would have given me better control" 
E,scroll wheel[-],"if you hold down the scroll wheel too long ( which is common if you have a lot of songs to sort through )  it will get " stuck " rapidly going through the songs and wo n't stop until several seconds after you let your finger off of it" 
E,case[-],"it would have been much nicer if it had a window so you could see the screen  and if the button did n't cover up the ac jack" 
E,case[-],"as it stands now  the case is pretty useless unless you 're packing the player up for travel  or if you load up all your songs beforehand" 
E,player[+][p],"overall  i feel that it 's a decent buy  and am happy that i own it" 
E,sound[+] price[+] player[-],"i am willing to overlook it 's problems to get superior sound quality and low price  although i feel the player has a lot of room for improvement" 
E,price[+],"for the price and size and features  you can 't beat the price" 
E,button[+]interface[+],"the buttons and interface are very easy to use" 
E,click buttons[+] display[+],"simple click buttons  back buttons volume and display are very easy to read  access and use" 
E,software[-],"but the major problem i had was with the software" 
E,instruction[-],"the instructions that come with it do n't explain how to make things simple" 
E,sync[-],"the quick sync is n't any good becuase it either needs to be configured properly or just is n't very useful" 
E,transfer[-],"i tried to make sense of the file transfer program and just got more confused" 
E,mp3 player[+],"with this mp3 player you get much more memory for much less than an ipod" 
E,interface[+],"i have found that the interface on the nomad is very easy to use if you have a basic knowledge of a computer" 
E,product[+],"i have had no problem what-so-ever with this product" 
E,software[+],"the software installed flawlessly and without any problems on my windows 2k machine" 
E,headphone[-],"the headphones are n't the best  but you can really expect much out of the small headphones you insert in the ear cavity" 
E,battery life[+],"the battery life seems good  takes very lttle time to charge  it uploads mp3s quickly and there is no delay between songs" 
E,navigation[+],"took me a few tries to get use to the navigation  but it 's a very user friendly player imo" 
E,player[+],"i have n't messed with the firmware at all  the player worked perfect for me right out of the box" 
E,product[+],"all-in-all  this is another excellent creative product" 
E,size[+][u]weight[+][u]look[+]display[+],"it 's small  light and nice looking and the display is decent as well" 
E,product[+],"i would recommend this product to anyone" 
E,player[+],"before asking for the zen xtra specifically for christmas i researched many different mp3 players but finally decided on this one  and now that i have it i could n't be happier and i 'm convinced it 's the best one out there" 
E,software[+],"many people have written about the software being its one downfall  personally i have n't had a single problem with the software  i 'm running windows me" 
E,cd rip[+],"the cd ripping to mp3 is so easy  and you can even rip the cd directly to the mp3 player  so it wo n't take up space on your pc hard drive" 
E,software[+],"the software runs smooth  it 's nice to look at  it 's very organized  easy to follow and makes things very simple" 
E,control[+],"the controls on the player are very simple  no need for a manual" 
E,player[+]sound[+],"the player is fast and sounds great  it also has many options like slowing or speeding up the music  or making it sound like you 're hearing the music in a huge auditorium" 
E,battery[+],"the battery lasts very long when playing music  but writing files to the player drains the battery fast  so you need to have it plugged into an outlet when sending files" 
E,playlist[+],"playlists can be made on the fly  without aid of a computer  and you can use play modes like shuffle and repeat for your ' now playing ' selections or playlists" 
E,software[+]player[+],"the software could n't be better and the mp3 player works like a dream  i could n't give this anything but a 5  i wish there was a 6" 
E,player[+][p],"it is an extremely cool gizmo" 
E,navigation[+]scroll[-],"the navigation is nice enough  but scrolling and searching through thousands of tracks  hundreds of albums or artists  or even dozens of genres is not conducive to save driving" 
E,playlist[-],"creating playlists using the included software to minimize issue 3 was n't as easy as i would have liked" 
E,sound quality[-],"my only significant complaint is sound quality" 
E,eax[-],"the eax sound enhancement feature did n't do enough for me and the custom eq was a limited 5 band eq" 
E,sound quality[-],"i was unable achieve a sound quality on par with my simple portable cd player with " bass boost" " 
E,product[+],"well i have to say that this product is very good i mean it might be a little big but it still fits in your pocket" 
E,product[+],"well surely this is a product that i recommend someone in getting rather than any other mp3 player ( at that size and the price )" 
E,program[-],"well just one con - its not really plug and play at first i mean its very confusing to start the program but one you do it  it will be a breeze" 
E,price[+][u] player[+],"not only is it more affordable  but its a better player for windows  which is what i have" 
E,battery life[+],"it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it )  so the battery life seems fine ( so far ). 
E,id3 tag[-],"my only complaint would be that you need id3 tags & that takes a while to do if your mp3 files do n't have them" 
E,transfer[+],"oh".. and file transfers are fast & easy" 
E,weight[-],"a little weighty ( 9 ounces".. no biggie )  but otherwise fine" 
E,scroll wheel[+],"it 's easy" 
E,button[+],"the buttons are easy to use  and its easy to navigate" 
E,backlight[+],"the big backlight makes things easy to see  and the writing is big enough for people to see" 
E,eax[+],"my favorite thing about the nomad is the eax feature" 
E,eax[+][p],"its really cool" 
E,sound quality[+],"sound quality is amazing. i was expecting worse  but its really good ( especially if your files have good sound quality )" 
E,song speed[+],"you can also slow a song down & speed it up  which is cool too" 
E,earbud[-],"but the earbuds suck ! 
E,case[-],"i forgot  the case does n't fit" 
E,case[-],"my case doesnt close".. maybe mine was just faulty  but the case isnt that great" 
E,storage[+][u],"also  you can store data on it  which is a plus. for all you people who want to buy an ipod just to say you have an ipod  do n't bother  this is a much better buy" 
E,player hardware[+],"first i 'll start off by saying that this players hardware is pretty good"." 
E,sound[+]size[-][u],"the sound is indeed excellent and the form factore is not bad ( but still rather larger than i had expected )"." 
E,software[-],"what really made this a mediocre mp3 player for me was the software" 
E,bookmark[-],"bookmarks for example  are an excellent feature".. but not on this player"." 
E,bookmakr[-],"rather than creating a directory for bookmarks to be found in one area  the user must actually find the track where the bookmark was made"" 
E,bookmark[-],"this makes no sense and sort of defeats the purpose of audio bookmarks"." 
E,playlist[-],"the dynamic playlists ( " now playing "  i belive creative calls it ) feels very awkward at times and some menus simply take to long to get to and operate"." 
E,price[+][u],"while the ease of use was very impressive  i was put off by the price -- about $ 130 more than what i paid amazon for this player" 
E,nomad[+],"i have had the nomad jukebox for about three weeks now  and i am very happy with it" 
E,weight[-][u]battery life[+],"it 's only slightly heavier than the ipod  and has a longer battery life" 
E,storage capacity[+],"the storage capacity is great for me -- 
E,control[-],"the controls are somewhat harder to use than the ipod  but i have gotten use to them  and even at the beginning did not think would justify the huge difference in price" 
E,load[-][u],"loading cds was somewhat time-consuming  but i think it would have been with the ipod as well" 
E,tag[-]software[-],"my only reservations about this product concern the tagging process and the way it interacts with the software" 
E,tag[-],"other tagging problems result ( i think ) from the nomad 's operating system" 
E,software[-],"also  i can 't understand why the software does not ignore " the " when it lists the cds in alphabetical order" 
E,playlist[-],"finally  making playlists from the computer can be complicated because the tracks are listed individually  and are organized by cd  which are not listed but are organized in alphabetical order" 
E,product[+][p],"the bottom line for me is that i am very happy with this product" 
E,software[+],"a lot of people complain about the creative software  but i actually find creative mediasource organizer to have some strengths over itunes" 
E,sync[+],"first  the zen lets you sync to more than one computer" 
E,shuttle[+],"the zen is an outstanding way to shuttle music between sources  you can 't do this on the ipod ( except for a cumbersome work-around using the ipod as a hard drive instead of a player )" 
E,sync[+],"second  the " automatic " sync on creative lets you review the songs before it begins its transfer" 
E,player[+],"the zen serves as a back-up device as well as a player" 
E,software[+],"third  creative software allows you to keep two windows open to look at both the content on the player and the computer" 
E,cd burner[-],"only thing missing from creative is a cd burner" 
E,creative[+],"for those of us that like to tinker  i think creative offers some advantages" 
E,scroll[+],"zen allows you to scroll up and down the song list selected on the player" 
E,remove[+],"it also lets you remove songs from the play order" 
E,delete[+],"if you bring up an album  but absolutely hate some of the tracks  the zen will allow you to delete that from the playing order" 
E,zen[+][p],"its ability to serve as a back-up for my music collection is a huge plus. 
E,this thing[+][p],"i got this thing for christmas and i have been very happy with it ever since" 
E,control[-]look[-],"the only thing i would complain about the zen xtra is that the controls are n't as easy as the ipod 's  or as " sexy " looking" 
E,software[+],"the software is quick & easy to use & i found the entire process very easily mastered" 
E,headphone[-],"as mentioned in other reviews the headphones are useless and need to be replaced right away ! 
E,the unit[+],"the unit works great with my cassette adapter for my car & is also easily worked without taking your eyes off the road ! 
E,unit[+],"overall it is a great unit & hopefully creative labs or some other vendor will soon come out with some accessories for it" 
E,[t] review for folks new to mp3s" 
E,size[+],"this did n't bother me too much because it 's still a decent size" 
E,case[+],"it comes with a good case that fits it snuggly" 
E,cover[-],"the front cover ( which you remove to take out the battery ) feels flimsy but when snapped on  the device still feels pretty solid" 
E,software[+][u],"extremely convenient" 
E,price[+],"great price" 
E,software[+],"i thought the software was decent enough - it was n't complicated to learn at all" 
E,scroll[-],"the scroll button is sort of annoying to push - a nice button would be nicer but eh  not a big deal" 
E,size[-][u],"it is slightly larger than an ipod  no doubt about it" 
E,player[+][p],"i 'm really happy with this purchase" 
E,size[-],"i would have liked to have given it 4 1/2 stars docking that 1/2 star only for the size" 
E,screen[+]equilizer[+],"now heres the stuff you should know starting with the good things , the screen is really big and the blue light in the back is perfect  fast as hell in music transfer  controls are easy to use after mastering the scroll button  great sound and ive heard many mp3 players  a ton of different equilizer type deals on here" 
E,size[-][u]weight[+]software[-],"there are a couple things i didnt like though but nothing serious , a little larger than other mp3s but still light  the software takes some time to get used to ( maybe 10-5 mins )  and this thing would definitely be destroyed with one fall" 
E,case[+],"but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access everything" 
E,price[+]sound[+],"ive seen em all  the archos  dell  ipods  everything".. good price and great sound makes this one the best in my opinion" 
E,weight[-][u]size[-][u],"its far heavier and much larger which might not seem to matter except if you use it while running or keep it in your pocket" 
E,playlist[-],"its far more difficult to select songs and has no easy to use on the fly playlist creation such as the new ipod not to mention it does n't sinc with contact lists  phone numbers  address books  ect. like the ipod ( which eliminated my need for any kind of palm device )" 
E,battery life[-],"it also has unproven battery life" 
E,software[-],"finally the software used to put all the songs into it is vastly inferior to itunes on two levels  first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks  flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store  which  if you ever plan to pay for your music  is by far the best" 
E,price[+]capacity[+],", price and capacity 
E,design[+]interface[+],", slick-looking design and improved interface 
E,battery[+],", removable battery 
E,case[-],", protective case completely useless as is since it obscures display window" 
E,scroll[-],", scroll button more cumbersome than on earlier models" 
E,eax[-],", eax equalizer accentuates dimished quality of mp3 files" 
E,volume[-],", does not provide enough volume when connected to larger headphones  or external receivers ( car radio ). 
E,software[-],", software is absolutely terrible , 
E,transfer[-],"-- > will not automatically transfer songs with identical titles ( if you have live albums or greatest hits albums  this will cause you inordinate frustration ). 
E,recognition[-],"-- > does not recognize player at random times  despite being connected and displaying player 's library" 
E,change[-],"-- > too difficult to change genre / album / track information for large number of tracks" 
E,software[-],"-- > you 'll be changing track information a lot because the cd database information utilized by the software is mediocre at best" 
E,player[+]software[-] rip[-] transfer[-],"a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be" 
E,size[+][u],"despite its being slightly larger than the ipod  i must say i was surprised to see how small it was when i unwrapped the box ! 
E,cd rip[+],"i am ripping my cd collection into 160 kbps wma files ; this gives an average of around 60-5 mb per cd  good for about 900 cds in the ~ 57000 mb of free memory available to me" 
E,transfter[+],"file transfers are fast  nearly a song per second via usb 2.0" 
E,software[-],"my one issue with the mediasource software is that  despite pulling id3 tag data from the cdds service  the ripping process fails to populate the " year " field" 
E,sound[+],"to my ears  a 160 kbps wma file sounds just as good as the source cd  and the zen xtra sounds just as good as a portable cd player" 
E,eax[+],"the eax features are pretty cool  as well  as creative has included a number of eq adjustments that  for example  compensate for the extraneous noise encountered in a car or on a train" 
E,navigation[-],"navigation could be better  but there is n't really anything the zen xtra can 't do once you 've gotten comfortable with it" 
E,player[+],"at the end of the day  what i wanted was a large-capacity player which allows me to easily play any album from my collection wherever i go  and the zen xtra 's combination of price  capacity and features easily meets those criteria" 
E,this[+][p],"i got this for christmas  and it is a great gift" 
E,use[+],"i have been ripping songs into it for the past few weeks  and the ease of use is wonderful" 
E,memory[+],"the memory will hold an amazing amount of songs  my entire collection of cd 's will all fit on this great little tiny piece of digital fun" 
E,battery[+]sound[+],"plusses are the easy to remove battery and the terrific sound produced by the nomad" 
E,software[-]case[-],"the only two things that stop me from giving it 5 stars are the ho-hum software that comes with the system  and the traveling case it comes with" 
E,rip[+] quality[+],"ripping the songs  even with my 1.1 usb connection is still very quick  and the quality is very good" 
E,player[+],"considering the price and specs  this might be the best buy out there for a large memory mp3 player" 
E,sound quality[+],"it 's really a shame  because otherwise  creative mp3 players are very good  and have the best sound quality of any players on the market" 
E,zen xtra[+],"after some consideration i chose the 40gb nomad zen xtra from creative  and i have not been disappointed" 
E,battery[+],"first  the battery is replacable by the user  because creative intended it to be - unlike apple with the ipod" 
E,battery[+],"it was easy enough to remove the front plate  and there was only one way the battery could be inserted" 
E,software[+],"the new organizer software that ships with the nomad zen xtra could n't be easier to use" 
E,playlist[+]cd rip[+],"you can create playlists  drag & drop songs and playlists to your player  and rip directly from cd to your player" 
E,transfer[+],"and with usb 2.0  transferring music to your player is incredibly easy" 
E,sound[+]volume[+],"the sound is great  and the volume is more than satisfactory for commutes and shutting out external noise" 
E,earbud[+],"i thought i 'd have to buy a set of headphones to use with it  but the included earbuds work quite well" 
E,earbud[+][p],"they could be more comfortable  but no complaints in the sound department" 
E,equalizer[+],"i 've played around with the equalizer settings and am satisfied at the range of choices i have there too" 
E,clip[-],"however  i do n't like to carry it on my belt because the clip is n't secure and the case can slip off" 
E,case[-],"also  the carrying case that came with mine covers up the display  so even though the side controls are reachable  i have to open it up to see the display" 
E,player[-]software[-],"this player is an overall disappointment with a couple of big flaws that potential buyers should be wary of ; and all readers need to know about a third party software company that resolves virtually all of the creative mediasource file transfer issues" 
E,storage[+][u],"1" i achieved my basic objective ; my entire cd collection is on a portable device with lots of room to store more" 
E,stoppage[+],"the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click" 
E,software[-],"1. creative mediasource software is ok to rip  catalog & burn music if you are starting from scratch ; but i used musicmatch to rip my cds before i bought the zen ( 278 cds ; 3400 tracks ; 12.5 gb of music all ripped at 128bps ) and guess what ? 
E,mediasource[-],"mediasource did not recognize my tags ! 
E,eax[-],"2" despite most reviewers giving kudos to the zen for music quality  i experienced a flaw using eax" 
E,eax[-],"creative are , the , sound people for computers  i can 't understand why eax would introduce static" 
E,mediasource[-],"3" mediasource is an application with serious user interface flaws" 
E,folder structure[-],"4"the zen , stores , data files  but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched )" 
E,storage[-],"in other words  the zen is not a convenient data storage device ; only buy the capacity you need for your music collection ( see point 1. for some sizing information )" 
E,stop button[-],"5" the zen does not have a stop button ! 
E,manual[-],"but this is , not documented , in the zen manual - neither the hard copy nor the cd version" 
E,usb recharge[-],"6" the zen nx battery requires the ac adapter to recharge ; it does not charge by usb cable ; this is not tragic  but usb recharging would be a convenient ( additional ) choice" 
E,mediasource[-],"7" mediasource did not install on my personal notebook" 
E,notmad[+],"m3u files are used by most mp3 players like musicmatch and winamp  but not creative - without notmad you need to manually recreate your playlists ) ; it does n't care what software you use to rip or catalog your music - creative or any other company - all my 12.5 gb of music were transferred to the zen with correct tags - hooray ! 
E,software[+],"given that i already have the zen the only reason i am happy with it is because of the notmad software" 
E,player[+][p],"now that i own it  however  i can 't imagine being without it ! 
E,memory[+][u],"i have stored around 60 cd 's ( at 160kbps ) on this and have barely touched the available memory" 
E,sound quality[+],"the sound quality is fantastic ( cd quality ) and it is really great to carry this around instead of stacks of cd 's or tapes ! 
E,navigation[+],"it is exceedingly simple to navigate around in this device" 
E,operate[+][u],"i did n't read a thing about how to operate it -- it was just intuitive" 
E,software[-],"the pc-side software can be goofy and takes a little getting used to but it 's not as bad as some reviewers have indicated" 
E,napster[+],"one other plus is that napster now supports this device via their software" 
E,name[-],"they have a whole bunch of devices that all have the same-sounding name ( and they are long )" 
E,player[-][p],"i just bought one and returned it as defective for good reason" 
E,storage[+][u],"+ the memory ( 40 gb ) is staggering" 
E,musicmatch software[+],"+ i had no problem using musicmatch software already on my computer to load songs and albums onto this unit 
E,screen[+],"+ screen was good  easy to read 
E,sound quality[+],"+ / - sound quality was good but it was going to take some tweakings with settings to try to make it great" 
E,software[-],"- the software that came with it was tough to load" 
E,battery top[-],"- the top that covered the battery kept poping off without much of a touch near the bottom latch" 
E,top[-],"the top did not fit well into the unit" ( felt defective ) 
E,cover[-],"- the cover that came with it did n't fit very well 
E,flywheel[-],"- the flywheel you use for most of the navigation was n't in tightly and it was uneven as far as the amount of pressure to make it engage" 
E,construction[-][p],"- this did not feel like quality construction and i was n't sure how long it would last" 
E,zen xtra[+],"i decided to save the $ $ and opted for the zen xtra".. and i was not disappointed" 
E,player[+]sound quality[+],"the player is intuitive and outputs great sound quality" 
E,navigation[+]sync[+],"navigation is easy and i found that syncing files from the player to the computer ( and vice versa ) was easy too" 
E,software[+],"many have complained about the software included but in my opinion it 's easy to use and effective" 
E,player[+],"i love this player and am extremely happy with my decision" 
E,construction[-],"the construction of the player is the cheesiest i have ever seen -- the front panel refused to clip in correctly  leaving a noticeable gap between the panel and base of the player" 
E,construction[-],"i 'm not willing to accept shoddy construction on something i paid over 250 dollars for" 
E,[t] the 3 ( ? ! ) month warranty should be a warning" 
E,price[+],"the price / performance looked just right" 
E,headphone jack[-],"i 've had this thing just over a month and the headphone jack has already come loose" 
E,construction[-],"i fully expect it to go bad again in the same or some other way in the next 6 months because  as other reviewers have pointed out  the construction is pretty flimsy" 
E,installation[-],"like other reviewers  installation was hell" 
E,software[-][p],"about 10 % of the time it can 't find the device when i attach it to my pc" 
E,online help[-],"after i had it a couple weeks  it got into a state where it could never find the device  no matter how often i rebooted my pc  reset the device  reloaded drivers  etc  etc. creative 's online support was no help at all" 
E,player[-][p],"in fact  i 'd have to rate it among the worst i 've ever encountered" 
E,installation[-][u],"to my amazement  even that process was error-prone" 
E,things[-][p],"it took several days of attempts before things finally " worked " again and i have n't a clue why" 
E,notmad software[+],"i did buy the notmad software a week ago and found that a vast improvement" 
E,nomad[-],"my gut tells me the nomad will in the long run be  at best  a 40gb portable hard drive  albeit one on which i can 't create folders  or  at worst  a very expensive lesson in companies never to buy products from again ( i have their audigy sound card and find it in many ways equally frustrating )" 
E,creative product[-],"i will never buy a creative product again" 
E,thing[-],"i purchased a jukebox  it got fried while being recharged  they asked for $ 20usd just to look at it and said that they would charge me for repaing the damned thing" 
E,sound[+]power output[+],"1 ) great sound ( > 98db signal-to-noise ratio beats ipod 's " unspecified " ratio ) and good power output allow the zen xtra to drive large head-phones as well as external speakers" 
E,volume[+],"with my sennheiser 497 headphones  the volume is loud enough at 12 ( max is 20 )" 
E,player[+],"the player works well with my sony srs-a 202 powered speakers" 
E,user interface[+]navigation[+],"2 ) the player user interface ( ui ) is intuitive to use  and allows easy navigation of a large or small collection" 
E,nomad explorer[+],"3 ) the nomad explorer ( winxp style interface ) works well to transfer files back and forth to use the nomad as an external although the tech support web-site states that the primary intended purpose of the player is as a player" 
E,nomad explorer[+],"the nomad explorer provide most of the functionality offered by 3rd party programs like notmad" 
E,usb 2.0[+],"4 ) usb 2.0 means fast data transfers ( 1 song / sec ! ). 
E,battery[+],"5 ) the cheap  user-replaceable battery ( $ 50 from creative ) is a great advantage over the ipod 's battery which costs $ 100 to replace" 
E,battery life[+],"6 ) excellent battery life - 14 hours beats ipod 's" 
E,look[+]build[+],"7 ) chic look and good build - the player comes in a compact form with a metal face plate" 
E,player[+][p],"i use it primarily in the provided protective case although i have dropped it about 3 feet from my desk ( by accident ) as well as have played it outdoors in - 30 fahrenheit weather ( by design ) and it has continued to work fine" 
E,mediasource[+],"8 ) creative mediasource  although not as sleek looking as windows mediaplayer  is effective in organizing your collection and is linked to a good cddb service ( gracenotes ). 
E,id3 tag[+],"i do n't always care for gracenotes ' genre listings but it allows easy editing of id3 tags" 
E,cd rip[+],"b. fast mediasource cd ripping - takes about 40 seconds for a cd on my pentium 4 pc ( 2.4 ghz with 1gb ram ) with 52x drive" 
E,sync[+],"c. i do love audio sync which allows a one-click synchronization between the player and the music collection on the computer" 
E,wake up[+],"9 ) wake-up feature that allows you to set up the player to wake up and play selected music at a specified time" 
E,play mode[+],"10 ) multiple play modes - tracks in order of album  shuffle  etc.  is standard on all jukebox players but worth noting that the zen xtra is not deficient in this matter" 
E,pause[+],"11 ) minimal pause between songs - less than that on other devices - good achievement for a hard-drive based player 
E,storage[+],"12 ) big storage - my entire cd collection in one small device ( 5717 songs  491 albums and counting ) ! 
E,plug and play[-],"1 ) player is not plug and play - need to install nomad explorer first and mediasource to transfer files and i had to be patient as i was used to winxp detecting the player and dragging and dropping the music files into it" 
E,id3[-],"2 ) music organization is based on id3 ( by genre  artist  album  etc. ) and this can be a problem for older downloaded music files with missing or incorrect id3 information" 
E,folder[-],"3 ) folders cannot be created for the audio files" 
E,fm[-]voice recording[-],"4 ) no fm or voice recording - these would have been nice extras" 
E,accessory[-],"5 ) lack of good accessories - this is more of an oversight of creative 's marketing" 
E,case[-],"6 ) the case occludes the display screen when it is closed" 
E,flip switch[+],"7 ) some people have problems with the flip switch on the bottom that releases the player cover - has not been an issue for me and is immaterial if you use the case as the case covers the switch" 
E,sound[+]interface[+]battery[+]software[+] wake up[+]play mode[+],"great sound ; good interface ; replaceable  powerful battery ; good software ; wake-up  sleep timers ; multiple play modes 
E,plug and play[-]id3[-]fm[-]recording[-],"not plug & play ; relies on id3 ; no fm or recording 
E,storage[+][u],"can 't beat carrying 500-cd collection with me wherever i go" 
E,wake up[+],"also love waking up to music with attached speakers" 
E,headphone jack[-],"so  i 've had it for a month  and the headphone jack went out" 
E,creative[-][p],"nothing but hassle with this company" 
E,shuffle[+],"i felt better with this one since it had the shuffle feature and i 'm not too keen on www.ipodsdirtysecret.com. 
E,battery[+],"replacement battery is $ 50 compared to ipod 's $ 150" 
E,cover[-],"the only thing i do n't like about this is the cover does suck" 
E,weight[-][u],"it 's kinda heavy  kinda like having a walkman" 
E,headphone[-],"headphones suck  i would invest in some cool ones since it has the eax feature" 
E,software[-],"the software sucks" 
E,feature[-],"also the feature to automatically put in the song information is n't always accurate" 
E,headphone jack[-],"i 've had this thing for less than a month  treated it quite well  never dropped it  and the headphone jack is all screwed up" 
E,size[-][u]weight[-][u]wheel[-],"kind of bulky and the wheel is awkward  but i can deal with that" 
E,software[-],"software definitely sucks  hangs up my notebook about half the time  but i do n't mind buying notmad" 
E,player[-],"i am annoyed that the player 's not automatically recognized as a hard drive" 
E,player[-],"i loved it until it broke  but less than a month is not an acceptible period of time for something to work" 
E,product[+] sound[+] use[+],"i loved this product when i first got it - great sound  easy to use ( even though i agree that the software was n't the best ) and held enough songs to suit any mood" 
E,durability[-],"i was willing to live with the larger size ( inconvenient on the road ) but the durability was a big zero" 
E,hard drive[-],"always carried it in a case in by briefcase but one day the hard drive just zapped" 
E,player[-][u],"i am disappointed and looking elsewhere for something that can withstand the " rigor " of a business traveler" 
E,[t] the best jukebox mp3 player  hands-down" 
E,player[+],"the combination of the price  storage size  and player features makes this player the best on the market" 
E,software[+],"fact is  it could n't be easier to use" 
E,sound quality[+],"sound quality on this is amazing  as with all creative products" 
E,sound[+][u],"even leaving it on the default setting ( without the eax enhancements ) produces crystal clear playback" 
E,menu[+],"the menu allows you to search for files by artist  genre  and album quite easily" 
E,battery[+],"the battery stays charged for a long time  and takes no more than 2 or 3 hours at most to fully recharge via the included ac adapter" 
E,player[+],"connect the player to your computer ( via usb )  open up mediasource  and you can listen to your stored mp3s as they stream directly from the xtra ! 
E,usb 2.0[+],"usb 2.0 transfer is insanely fast" 
E,folder[-],"minor complaints , 1 ) even though the music is sorted via id3 tag on the player  the option to search for music contained in a folder is unavailable" 
E,folder[-],"the zen xtra will transfer the files to the player  but not the folder name" 
E,id3 tag[-],"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called " unknown" " 
E,nomad explorer[-],"3 ) with mediasource being so easy  i found no use for the bundled nomad explorer software" 
E,nomad explorer[-],"in fact  it caused my system to hang more times than not  so i uninstalled it and stuck with mediasource 100 %" 
E,player[+][u],"my first impression was positive" 
E,eax[-],"first  the sound quality is okay  but ( as at least one other reviewer has mentioned ) the eax can cause audio interference after about 30 minutes" 
E,menue[-]control[-],"second  the menu system and controls are poorly designed" 
E,scroll[-],"the toggle button that is used to scroll is poorly designed and does not work well" 
E,button[-],"the general button placement is not very user friendly" 
E,case[-],"third  the poor design continues with the case" 
E,[t] creative nomad zen xtra 40 gb" 
E,price[+],"overall  a good buy for the price" 
E,navigation[+],"easy enough to navigate through  although i 'd prefer a sturdier button besides the thumbwheel scroll / pushbutton" 
E,battery life[-],"my biggest complaint is the battery life or lack there of" 
E,battery[-],"there is no way the battery supplied lasts 14 hours ! 
E,lock up[-],"i 've also had the nomad zen lock-up several times" 
E,construction[-],"the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case" 
E,case[-],"at the very least  a sturdier more protective carrying case would be nice" 
E,storage[+]navigation[+]playlist[+]battery[+],"pros , huge storage capacity for the price  easy to navigate  can modify existing playlists on the fly  has a removable battery 
E,battery life[-]manual[-]lock up[-]replacement battery[-],"battery life is about 1/4 of that advertised  no operators manual available for any of the nomad zen players ( on or off-line )  occasional software lockups  replacement battery is expensive 
E,[t] hard disk mp3 players" 
E,construction[-]support[-]scroll wheel[-]headphone jack[-],"creative zen feedback suffers from construction quality  poor product support  difficulty of using the scroll wheel and reasonably consistent feedback about problems with the headphone jack" 
E,build[-],"what is added in functionality ( battery replacement ) detracts in build quality as the face plate is prone to popping off" 
E,support[-],"feedback on creative 's product support is universally poor ; this is not limited to the zen  it applies to all the company 's products" 
E,scroll wheel[-],"the scroll wheel is finicky ; it works most of the time but there is a learning curve for pressing it just right ; new users say they have 50 % - 75 % success rate ; some find it so frustrating that they just return the device" 
E,software[-],"the creative software is awkward / difficult to use and just plain does n't load on some computers" 
E,headphone jack[-],"enough people have reported that their headphone jack does n't work after a month of using the device to believe that creative has some inbuilt manufacturing or quality control problem" 
E,folder[-],"the zen does n't support folders so it is not really a storage device ; even with third party software that " creates " folders  documents and programs can 't be launched from the zen  so it is not a hard disk  it 's a storage device at best" 
E,sound quality[+],"reviews for sound quality are generally ( but not universally ) positive" 
E,price[+][u],"sure  this thing is definitely more cost-effective than an ipod" 
E,quality[-],"but with a low price  comes lower quality" 
